,C001_L-92,C001_L-44,C001_L-3,C001_R+1,C002_L-92,C002_L-44,C002_L-3,C002_R+1,C003_L-92,C003_L-44,C003_L-3,C003_R+1,C004_L-92,C004_L-44,C004_L-3,C004_R+1,C001_L-92.1,C001_L-44.1,C001_L-3.1,C001_R+1.1,C002_L-92.1,C002_L-44.1,C002_L-3.1,C002_R+1.1,C003_L-92.1,C003_L-44.1,C003_L-3.1,C003_R+1.1,C004_L-92.1,C004_L-44.1,C004_L-3.1,C004_R+1.1,DESeq2_log2FC,DESeq2_p-value,DESeq2_adjusted p-value,pipeline-transcriptome-de_log2FC,pipeline-transcriptome-de_p-value,pipeline-transcriptome-de_adjusted p-value,ENSEMBL_clean,symbol,name,domain
ENSG00000158856.19,168,128,110,129,667,216,942,246,322,134,531,34,321,241,525,277,159,123,97,128,636,209,853,239,307,132,507,32,300,229,513,271,-0.001,0.0014155208470181,0.113381425026381,-1.18127355574122,0.0001375892396741,0.0451502588022295,ENSG00000158856,DMTN,dematin actin binding protein,Erythroid_RBC
ENSG00000162366.8,79,64,40,60,291,95,271,79,111,36,226,18,139,129,223,132,76,64,40,61,283,92,256,77,110,36,220,17,136,127,221,131,-0.001,0.0021466571838763,0.133444016575879,-1.20496157313116,5.9619276333808e-05,0.0226331139038991,ENSG00000162366,PDZK1IP1,PDZK1 interacting protein 1,Other
ENSG00000162722.9,37,16,18,14,156,48,210,24,68,18,100,4,30,46,102,48,39,16,17,16,163,51,202,27,68,19,110,4,29,47,110,49,-0.001,1.34915373517458e-05,0.015375855401873,-1.75932929644702,3.31239594734204e-08,8.01641224206116e-05,ENSG00000162722,TRIM58,tripartite motif containing 58,Erythroid_RBC
ENSG00000164849.10,10,6,3,6,29,19,50,11,36,10,44,3,14,13,41,19,11,5,3,6,27,19,50,10,34,10,42,3,14,12,39,17,-0.001,0.0046012542892627,0.215502581027251,-1.39363976421977,0.0001433939794328,0.0455702193746102,ENSG00000164849,GPR146,G protein-coupled receptor 146,Other
ENSG00000166947.15,1,2,0,2,14,0,9,2,7,0,2,0,3,1,6,2,17,13,3,10,111,29,48,7,42,15,72,3,38,43,74,35,0.0,0.191974349637228,,-2.04854195792417,4.79820244276034e-09,1.85795994988566e-05,ENSG00000166947,EPB42,erythrocyte membrane protein band 4.2,Erythroid_RBC
ENSG00000167671.12,114,93,112,84,475,138,532,126,198,84,400,24,316,256,517,302,108,88,105,81,461,128,508,125,196,77,392,23,304,246,506,297,-0.001,9.13106749304179e-05,0.0260159331322582,-1.34679914019771,1.19439703228126e-05,0.0082588289078562,ENSG00000167671,UBXN6,UBX domain protein 6,Protein_Degradation
ENSG00000167705.12,10,9,6,6,23,10,27,1,9,6,16,0,19,13,15,24,20,18,12,8,42,28,51,7,26,8,28,1,34,27,25,48,-0.001,0.0011705028999301,0.108160794996249,-1.5541903761141,6.04046828581144e-06,0.0055690241181712,ENSG00000167705,RILP,Rab interacting lysosomal protein,Other
ENSG00000167768.4,40,22,21,22,86,19,53,26,50,16,189,7,86,107,186,98,39,22,20,22,81,18,50,26,49,16,186,8,86,104,183,97,-0.001,0.0059771544093314,0.24621555331933,-1.25308949464221,5.92494339734775e-05,0.0226331139038991,ENSG00000167768,KRT1,keratin 1,Other
ENSG00000167992.14,3,2,4,2,35,10,30,8,14,3,17,0,6,7,18,3,3,2,4,2,34,9,26,7,14,3,16,0,5,7,18,3,0.0,0.0023561948917789,0.137834414328665,-1.95216409948582,4.31424827633752e-05,0.018983672926857,ENSG00000167992,VWCE,von Willebrand factor C and EGF domains,Other
ENSG00000168785.8,27,18,12,25,115,23,96,18,68,13,92,4,47,43,63,67,26,17,11,25,112,23,92,18,66,13,90,4,47,43,59,67,0.0,0.0091116688526559,0.313094034339369,-1.19300684314482,0.0001215604665456,0.0405781412550148,ENSG00000168785,TSPAN5,tetraspanin 5,Other
ENSG00000169877.10,93,48,17,25,184,54,98,20,114,37,213,12,142,208,213,170,91,46,15,25,176,53,94,19,110,36,204,12,136,204,204,169,-0.001,5.94879564774787e-05,0.0254236653995625,-1.93483703854319,9.44695387985108e-10,4.57256185169492e-06,ENSG00000169877,AHSP,alpha hemoglobin stabilizing protein,Erythroid_RBC
ENSG00000170271.11,27,8,17,12,47,17,44,8,25,11,31,1,11,9,29,16,27,7,14,11,45,16,39,8,25,10,30,1,10,9,27,16,-0.001,0.0009934782507315,0.101343731791595,-1.53047124339144,1.86540929432623e-05,0.0112863091710782,ENSG00000170271,FAXDC2,fatty acid hydroxylase domain containing 2,Other
ENSG00000171552.14,167,106,111,93,552,163,602,123,242,101,421,31,161,197,401,222,163,103,109,91,546,160,592,120,235,100,418,29,159,195,392,220,-0.001,5.33302291043025e-05,0.0254236653995625,-1.46720032304035,1.88363953475394e-06,0.0026049389308836,ENSG00000171552,BCL2L1,BCL2 like 1,Other
ENSG00000175745.15,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,13,0,1,2,1,1,1,0,0,0.0,0.854853056388815,,3.07479708881454,5.62553460851793e-05,0.0226331139038991,ENSG00000175745,NR2F1,nuclear receptor subfamily 2 group F member 1,Transcriptional_Regulation
